repo_name,organization,language,stars,forks,open_issues,age_days,has_coc,has_contributing,has_workflows,has_readme,description
transformers,huggingface,Python,156457,32067,2233,2665,True,True,True,True,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. "
JavaGuide,Snailclimb,Java,153800,46112,74,2840,False,False,True,True,Java 面试 & 后端通用面试指南，覆盖计算机基础、数据库、分布式、高并发与系统设计。准备后端技术面试，首选 JavaGuide！
javascript,airbnb,JavaScript,148094,26761,185,4852,True,False,True,True,JavaScript Style Guide
FreeDomain,DigitalPlatDev,HTML,147481,2567,28,625,False,False,True,True,DigitalPlat FreeDomain: Free Domain For Everyone
yt-dlp,yt-dlp,Python,147071,11917,2313,1937,False,True,True,True,A feature-rich command-line audio/video downloader
prompts.chat,f,HTML,145239,19169,6,1167,False,True,True,True,"a.k.a. Awesome ChatGPT Prompts. Share, discover, and collect prompts from the community. Free and open source — self-host for your organization with complete privacy."
langflow,langflow-ai,Python,144782,8452,1012,1101,True,True,True,True,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.
HelloGitHub,521xueweihan,Python,142991,11110,268,3573,False,False,True,True,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub."
youtube-dl,ytdl-org,Python,139648,10591,4116,5585,False,True,True,True,Command-line program to download videos from YouTube.com and other video sites
next.js,vercel,JavaScript,137665,30460,3333,3418,True,True,True,True,The React Framework
tech-interview-handbook,yangshun,TypeScript,137599,16448,59,3511,True,True,True,True,Curated coding interview preparation materials for busy software engineers
scrcpy,Genymobile,C,135638,12643,2735,3006,False,False,True,True,Display and control your Android device
fucking-algorithm,labuladong,Markdown,132557,23696,2,2187,False,False,True,True,"刷算法全靠套路，认准 labuladong 就够了！English version supported! Crack LeetCode, not only how, but also why. "
go,golang,Go,132468,18820,9839,4197,False,True,True,True,The Go programming language
PowerToys,microsoft,C#,129778,7713,8148,2480,True,True,True,True,Microsoft PowerToys is a collection of utilities that supercharge productivity and customization on Windows
dify,langgenius,TypeScript,129596,20159,721,1039,False,True,True,True,Production-ready platform for agentic workflow development.
30-seconds-of-code,Chalarangelo,JavaScript,126772,12439,0,2998,True,True,True,True,Coding articles to level up your development skills
langchain,langchain-ai,Python,126650,20836,400,1216,False,True,True,True,🦜🔗 The platform for reliable agents.
react-native,facebook,C++,125354,25086,1187,4053,True,True,True,True,A framework for building native applications using React
open-webui,open-webui,Python,123898,17503,244,861,True,False,True,True,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)"
hello-algo,krahets,Java,122289,14830,27,1198,False,False,True,True,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持简中、繁中、English、日本語，提供 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 等代码实现"
kubernetes,kubernetes,Go,120491,42460,2634,4270,False,True,True,True,Production-Grade Container Scheduling and Management
electron,electron,C++,120087,16985,901,4691,True,True,True,True,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS"
free-for-dev,ripienaar,HTML,117926,12063,12,3985,False,False,True,True,"A list of SaaS, PaaS and IaaS offerings that have free tiers of interest to devops and infradev"
excalidraw,excalidraw,TypeScript,116731,12523,2782,2235,False,True,True,True,Virtual whiteboard for sketching hand-drawn like diagrams
free-programming-books-zh_CN,justjavac,,116318,28347,31,4485,True,True,True,True,:books: 免费的计算机编程类中文书籍，欢迎投稿
node,nodejs,JavaScript,115707,34741,2446,4097,True,True,True,True,Node.js JavaScript runtime ✨🐢🚀✨
system-prompts-and-models-of-ai-tools,x1xhlol,,114502,29594,123,345,False,False,True,True,"FULL Augment Code, Claude Code, Cluely, CodeBuddy, Comet, Cursor, Devin AI, Junie, Kiro, Leap.new, Lovable, Manus, NotionAI, Orchids.app, Perplexity, Poke, Qoder, Replit, Same.dev, Trae, Traycer AI, VSCode Agent, Warp.dev, Windsurf, Xcode, Z.ai Code, Dia & v0. (And other Open Sourced) System Prompts, Internal Tools & AI Models"
d3,d3,Shell,112324,22819,27,5618,False,False,True,True,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:"
iptv,iptv-org,TypeScript,111525,5594,352,2648,False,True,True,True,Collection of publicly available IPTV channels from all over the world
three.js,mrdoob,JavaScript,110875,36273,602,5806,False,False,True,True,JavaScript 3D Library.
rust,rust-lang,Rust,110275,14489,12074,5721,True,True,True,True,Empowering everyone to build reliable and efficient software.
axios,axios,JavaScript,108595,11512,316,4197,True,True,True,True,Promise based HTTP client for the browser and node.js
TypeScript,microsoft,TypeScript,107809,13223,5454,4260,True,True,True,True,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.
rustdesk,rustdesk,Rust,107472,15968,100,1965,False,False,True,True,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer."
godot,godotengine,C++,106656,24324,17600,4424,False,True,True,True,Godot Engine – Multi-platform 2D and 3D game engine
ui,shadcn-ui,TypeScript,106603,7880,1770,1137,False,True,True,True,"A set of beautifully-designed, accessible components and a code distribution platform. Works with your favorite frameworks. Open Source. Open Code."
Awesome-Hacking,Hack-with-Github,,106563,9996,31,3608,False,True,True,True,"A collection of various awesome lists for hackers, pentesters and security researchers"
generative-ai-for-beginners,microsoft,Jupyter Notebook,106402,57001,16,970,True,True,True,True,"21 Lessons, Get Started Building with Generative AI "
GitHub-Chinese-Top-Charts,GrowingGit,Java,106160,13489,190,2354,False,False,False,True,:cn: GitHub中文排行榜，各语言分设「软件 | 资料」榜单，精准定位中文好项目。各取所需，高效学习。
deno,denoland,Rust,106141,5897,2603,2832,False,False,True,True,A modern runtime for JavaScript and TypeScript.
nodebestpractices,goldbergyoni,Dockerfile,105082,10691,88,3074,False,False,True,True,:white_check_mark:  The Node.js best practices list (July 2024)
frp,fatedier,Go,104506,14884,50,3708,False,False,True,True,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.
opencode,anomalyco,TypeScript,104454,10142,5170,289,False,True,True,True,The open source coding agent.
create-react-app,facebook,JavaScript,103929,27132,2367,3499,True,True,True,True,Set up a modern web app by running one command.
papers-we-love,papers-we-love,Shell,103274,6268,3,4444,True,False,True,True,Papers from the computer science community to read and discuss.
ComfyUI,Comfy-Org,Python,103215,11749,3703,1124,False,True,True,True,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface."
tauri,tauri-apps,Rust,102692,3381,1359,2408,False,False,True,True,"Build smaller, faster, and more secure desktop and mobile applications with a web frontend."
terminal,microsoft,C++,101814,9072,1699,3108,True,True,True,True,"The new Windows Terminal and the original Windows console host, all in the same place!"
DeepSeek-V3,deepseek-ai,Python,101579,16516,92,415,False,False,True,True,
angular,angular,TypeScript,99830,27060,1107,4167,True,True,True,True,Deliver web apps with confidence 🚀
awesome-mac,jaywcjlove,JavaScript,98810,7390,189,3499,False,True,True,True," Now we have become very big, Different from the original idea. Collect premium software in various categories."
HowToCook,Anduin2017,Dockerfile,97942,10818,466,2177,True,True,True,True,程序员在家做饭方法指南。Programmer's guide about how to cook at home (Simplified Chinese only).
material-ui,mui,JavaScript,97808,32765,1740,4197,False,True,True,True,Material UI: Comprehensive React component library that implements Google's Material Design. Free forever.
every-programmer-should-know,mtdvio,,97785,8643,20,3096,False,True,True,True,A collection of (mostly) technical things every software developer should know about
supabase,supabase,TypeScript,97598,11544,922,2317,False,True,True,True,"The Postgres development platform. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications."
ant-design,ant-design,TypeScript,97515,54521,1379,3949,True,False,True,True,An enterprise-class UI design language and React UI library
pytorch,pytorch,Python,97407,26857,18002,3472,True,True,True,True,Tensors and Dynamic neural networks in Python with strong GPU acceleration
clash-verge-rev,clash-verge-rev,TypeScript,97270,7134,145,815,False,True,True,True,"A modern GUI client based on Tauri, designed to run in Windows, macOS and Linux for tailored proxy experience"
v2rayN,2dust,C#,96806,14195,13,2391,False,False,True,True,"A GUI client for Windows, Linux and macOS, support Xray and sing-box and others"
neovim,neovim,Vim Script,96430,6580,2040,4397,False,True,True,True,Vim-fork focused on extensibility and usability
thefuck,nvbn,Python,95464,3835,406,3965,False,True,True,True,Magnificent app which corrects your previous console command.
Web-Dev-For-Beginners,microsoft,JavaScript,95286,15150,41,1922,True,True,True,True,"24 Lessons, 12 Weeks, Get Started as a Web Developer"
fastapi,fastapi,Python,95091,8687,157,2625,False,True,True,True,"FastAPI framework, high performance, easy to learn, fast to code, ready for production"
llama.cpp,ggml-org,C++,95020,14899,1123,1071,False,True,True,True,LLM inference in C/C++
awesome-llm-apps,Shubhamsaboo,Python,94948,13754,19,656,False,False,True,True,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models."
whisper,openai,Python,94610,11753,115,1246,False,False,True,True,Robust Speech Recognition via Large-Scale Weak Supervision
gemini-cli,google-gemini,TypeScript,94487,11165,2133,302,False,True,True,True,An open-source AI agent that brings the power of Gemini directly into your terminal.
clean-code-javascript,ryanmcdermott,JavaScript,94296,12508,119,3367,False,False,False,True,Clean Code concepts adapted for JavaScript
java-design-patterns,iluwatar,Java,93734,27395,213,4206,False,True,True,True,Design patterns implemented in Java
puppeteer,puppeteer,TypeScript,93564,9370,286,3202,False,False,True,True,JavaScript API for Chrome and Firefox
tailwindcss,tailwindlabs,TypeScript,93519,5059,86,3053,False,False,True,True,A utility-first CSS framework for rapid UI development.
immich,immich-app,TypeScript,92471,4907,721,1472,True,True,True,True,High performance self-hosted photo and video management solution.
DeepSeek-R1,deepseek-ai,,91855,11774,48,390,False,False,True,True,
nvm,nvm-sh,Shell,91693,9869,375,5783,True,True,True,True,Node Version Manager - POSIX-compliant bash script to manage multiple active node.js versions
app-ideas,florinpop17,,90395,10292,596,2545,True,True,True,True,A Collection of application ideas which can be used to improve your coding skills.
vue-element-admin,PanJiaChen,Vue,90293,30628,1372,3225,False,False,True,True,:tada: A magical vue admin                                                                https://panjiachen.github.io/vue-element-admin
storybook,storybookjs,TypeScript,89236,9856,2252,3620,True,True,True,True,"Storybook is the industry standard workshop for building, documenting, and testing UI components in isolation"
bitcoin,bitcoin,C++,88112,38904,736,5536,False,True,True,True,Bitcoin Core integration/staging tree
gin,gin-gonic,Go,87985,8558,886,4260,True,True,True,True,"Gin is a high-performance HTTP web framework written in Go. It provides a Martini-like API but with significantly better performance—up to 40 times faster—thanks to httprouter. Gin is designed for building REST APIs, web applications, and microservices."
bun,oven-sh,Zig,87316,4055,6089,1767,True,True,True,True,"Incredibly fast JavaScript runtime, bundler, test runner, and package manager – all in one"
NextChat,ChatGPTNextWeb,TypeScript,87289,60376,790,1071,True,False,True,True,✨ Light and Fast AI Assistant. Support: Web | iOS | MacOS | Android |  Linux | Windows
markitdown,microsoft,Python,87056,5056,427,457,True,False,True,True,Python tool for converting files and office documents to Markdown.
django,django,Python,86754,33642,405,5040,False,True,True,True,The Web framework for perfectionists with deadlines.
hugo,gohugoio,Go,86565,8190,273,4608,False,True,True,True,The world’s fastest framework for building websites.
opencv,opencv,C++,86158,56525,2718,4958,False,True,True,True,Open Source Computer Vision Library
mermaid,mermaid-js,TypeScript,86014,8618,1625,4122,True,True,True,True,Generation of diagrams like flowcharts or sequence diagrams from text in a similar manner as markdown
svelte,sveltejs,JavaScript,85753,4769,965,3372,True,True,True,True,web development for the rest of us
LLMs-from-scratch,rasbt,Jupyter Notebook,85265,12901,0,936,False,False,True,True,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step"
core,home-assistant,Python,84807,36742,3250,4533,True,True,True,True,:house_with_garden: Open source home automation that puts local control and privacy first.
manim,3b1b,Python,84475,7120,472,3981,False,False,True,True,Animation engine for explanatory math videos
weekly,ruanyf,,84066,3877,7089,2681,False,False,False,True,科技爱好者周刊，每周五发布
ML-For-Beginners,microsoft,Jupyter Notebook,83706,19971,6,1809,True,True,True,True,"12 weeks, 26 lessons, 52 quizzes, classic Machine Learning for all"
laravel,laravel,Blade,83636,24677,31,5365,False,False,True,True,"Laravel is a web application framework with expressive, elegant syntax. We’ve already laid the foundation for your next big idea — freeing you to create without sweating the small things."
mall,macrozheng,Java,82909,29653,12,2873,False,False,False,True,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于Spring Boot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。
realworld,realworld-apps,Bru,82828,7564,40,3640,False,True,True,True,"""The mother of all demo apps"" — Exemplary fullstack Medium.com clone powered by React, Angular, Node, Django, and many more"
uptime-kuma,louislam,JavaScript,82795,7394,696,1687,True,True,True,True,A fancy self-hosted monitoring tool
animate.css,animate-css,CSS,82634,16102,73,5239,True,True,True,True,🍿 A cross-browser library of CSS animations. As easy to use as an easy thing.
awesome-for-beginners,MunGell,,82621,7742,100,3765,False,True,True,True,A list of awesome beginners-friendly projects.
playwright,microsoft,TypeScript,82613,5134,593,2282,True,True,True,True,"Playwright is a framework for Web Testing and Automation. It allows testing Chromium, Firefox and WebKit with a single API. "
firecrawl,firecrawl,TypeScript,82424,6028,168,669,False,True,True,True,🔥 The Web Data API for AI - Turn entire websites into LLM-ready markdown or structured data
FiraCode,tonsky,Clojure,81158,3175,426,4112,False,False,True,True,Free monospaced font with programming ligatures
devops-exercises,bregman-arie,Python,81074,18585,38,2325,False,True,True,True,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions"
awesome-interview-questions,DopplerHQ,,80936,9360,49,3731,False,True,True,True,:octocat: A curated awesome list of lists of interview questions. Feel free to contribute! :mortar_board: 
awesome-mcp-servers,punkpeye,,80822,7195,281,441,False,True,False,True,A collection of MCP servers.
spring-boot,spring-projects,Java,79915,41863,499,4866,False,True,True,True,"Spring Boot helps you to create Spring-powered, production-grade applications and services with absolute minimum fuss."
syncthing,syncthing,Go,79897,4926,397,4463,False,True,True,True,Open Source Continuous File Synchronization
system-design-101,ByteByteGoHq,,79529,8707,57,879,False,True,True,True,Explain complex systems using visuals and simple terms. Help you prepare for system design interviews.
Deep-Live-Cam,hacksider,Python,79476,11575,110,874,False,True,True,True,real time face swap and one-click video deepfake with only a single image
uv,astral-sh,Rust,79204,2555,2669,865,True,True,True,True,"An extremely fast Python package and project manager, written in Rust."
